Ticker,Price,Market Cap,Date
YBC,0.9524,1209050.48,01/04/2014
PTC,0.04744,950390.85,01/04/2014
ZET,0.005719,916649.69,01/04/2014
DVC,0.0001239,818033.08,01/04/2014
CLR,0.1065,761372.32,01/04/2014
ANC,0.8478,717202.64,01/04/2014
GRCE,0.04004,645709.44,01/04/2014
UTC,0.06062,627350.63,01/04/2014
IXC,0.0277,523321.06,01/04/2014
UNO,3.01,518019.48,01/04/2014
TIX,0.00000769,514246.82,01/04/2014
FRC,0.01186,485953.64,01/04/2014
TRC,0.08108,474674.03,01/04/2014
RDD,0.00002653,458918.75,01/04/2014
PRT,0.0006409,446223.25,01/04/2014
MAZA,0.002255,438841.70,01/04/2014
CBX,0.4589,434973.74,01/04/2014
DGC,0.02848,405178.42,01/04/2014
HVC,0.01869,372714.46,01/04/2014
UNC,0.04323,362623.41,01/04/2014
APC,0.0221,349495.10,01/04/2014
MONA,0.07235,340488.83,01/04/2014
POT,0.005239,332063.59,01/04/2014
KARMA,0.000007874,331544.70,01/04/2014
MNC,0.1901,322537.25,01/04/2014
HBN,0.08158,300728.76,01/04/2014
EXE,0.07474,295031.17,01/04/2014
TIPS,0.000001407,292597.44,01/04/2014
GLC,0.009487,288007.94,01/04/2014
BIL,0.00004192,264129.22,01/04/2014
COL,8.41E-7,263129.86,01/04/2014
MEOW,0.00002972,258356.35,01/04/2014
ZEIT,0.000009563,257739.96,01/04/2014
BTCS,0.05274,247781.64,01/04/2014
SXC,0.003322,220899.88,01/04/2014
BTB,20.81,217104.83,01/04/2014
LEAF,0.00001411,207246.47,01/04/2014
XMY,0.001877,203335.85,01/04/2014
SRC,0.1303,198154.95,01/04/2014
TAG,0.1729,196375.91,01/04/2014
APH,0.008624,194578.23,01/04/2014
FAIR,0.00388,193991.34,01/04/2014
NET,0.0007864,193545.05,01/04/2014
TOP,0.00001646,189637.92,01/04/2014
CACH,0.7114,185383.78,01/04/2014
I0C,0.009089,184748.99,01/04/2014
GRCX,0.009264,182358.89,01/04/2014
HUC,0.134,168139.72,01/04/2014
EAC,0.00007904,164244.37,01/04/2014
AIR,0.06229,163194.22,01/04/2014
ECC,0.00001503,152847.89,01/04/2014
EXC,0.044,152739.85,01/04/2014
BQC,0.004566,152287.30,01/04/2014
LOT,0.00001435,148793.37,01/04/2014
MOON,0.000002232,144771.13,01/04/2014
HIRO,0.009406,142113.47,01/04/2014
MMC,0.02036,130978.49,01/04/2014
YAC,0.006117,118871.90,01/04/2014
DGB,0.0001305,116984.01,01/04/2014
DEL,0.00023,115361.76,01/04/2014
42,49178.66,112782.55,01/04/2014
FLT,0.0009813,96687.46,01/04/2014
PHS,0.05078,94385.51,01/04/2014
RIC,0.06416,94373.29,01/04/2014
FLO,0.002247,94289.27,01/04/2014
STL,0.04791,92614.94,01/04/2014
SLR,0.007466,91211.96,01/04/2014
MRY,0.004879,89780.41,01/04/2014
FST,0.00128,87472.85,01/04/2014
RED,0.002162,87411.57,01/04/2014
DUCK,2248.36,83189.39,01/04/2014
CAT,0.05861,80580.52,01/04/2014
SAT,0.00001377,80125.19,01/04/2014
MRC,0.000003516,75049.86,01/04/2014
Q2C,0.0003263,74467.87,01/04/2014
USDE,0.0001259,68682.24,01/04/2014
NOBL,0.00007625,67991.99,01/04/2014
NOTE,0.0009531,61935.51,01/04/2014
